step,time_days,mean_diam_prox,mean_diam_dist,bifurcation_lost,branch_collapse
0,0.0,12.732395447351626,12.732395447351626,0,0
1,0.1388888888888889,13.528170162811104,11.300000959524569,0,0
2,0.2777777777777778,13.050705333535419,10.185916357881302,0,2
3,0.4166666666666667,12.414085561167838,8.91267681314614,0,2
4,0.5555555555555556,12.573240504259733,7.639437268410977,0,2
5,0.6944444444444445,12.732395447351628,6.366197723675814,0,2
6,0.8333333333333334,12.573240504259733,5.252113122032547,0,2
7,0.9722222222222223,12.414085561167838,4.1380285203892795,0,2
8,1.1111111111111112,12.414085561167838,3.0239439187460118,0,2
9,1.25,12.573240504259733,1.9098593171027443,0,2
10,1.388888888888889,12.732395447351628,0.7957747154594768,0,2
11,1.527777777777778,12.732395447351628,0.15915494309189535,0,2
12,1.6666666666666667,14.005634992086792,0.0,0,2
13,1.8055555555555556,15.75633936609764,0.0,0,2
14,1.9444444444444446,17.666198683200385,0.0,0,2
15,2.0833333333333335,19.576058000303128,0.0,0,2
16,2.2222222222222223,21.00845248813018,0.0,0,2
17,2.361111111111111,22.281692032865347,0.0,0,2
18,2.5,23.554931577600513,0.0,0,2
19,2.638888888888889,24.191551349968094,0.0,0,2
20,2.777777777777778,24.669016179243776,0.0,0,2
21,2.9166666666666665,25.30563595161136,0.0,0,2
22,3.055555555555556,26.101410667070837,0.0,2,2
23,3.1944444444444446,25.783100780887047,0.0,2,2
24,3.3333333333333335,25.783100780887047,0.0,2,2
25,3.4722222222222228,25.783100780887047,0.0,2,2
26,3.611111111111111,25.464790894703256,0.0,2,2
27,3.75,24.509861236151885,0.0,2,2
28,3.8888888888888893,24.350706293059993,0.0,2,2
29,4.027777777777778,24.66901617924378,0.0,2,2
30,4.166666666666667,24.987326065427574,0.0,2,2
31,4.305555555555556,25.30563595161136,0.0,2,2
32,4.444444444444445,24.828171122335675,0.0,2,2
33,4.583333333333333,24.35070629305999,0.0,2,2
34,4.722222222222222,24.669016179243776,0.0,2,2
35,4.861111111111112,25.305635951611357,0.0,2,2
36,5.0,25.30563595161136,0.0,2,2
