step,seg,Ncell,G,D_um
0,0,8.0,1.8429448247542572e-14,12.732395447351628
0,1,8.0,1.8429448247542572e-14,12.732395447351628
0,2,8.0,1.8429448247542572e-14,12.732395447351628
0,3,8.0,1.8429448247542572e-14,12.732395447351628
0,4,8.0,1.8429448247542572e-14,12.732395447351628
0,5,8.0,1.8429448247542572e-14,12.732395447351628
0,6,8.0,1.8429448247542572e-14,12.732395447351628
0,7,8.0,1.8429448247542572e-14,12.732395447351628
0,8,8.0,1.8429448247542572e-14,12.732395447351628
0,9,8.0,1.8429448247542572e-14,12.732395447351628
0,10,8.0,1.8429448247542572e-14,12.732395447351628
0,11,8.0,1.8429448247542572e-14,12.732395447351628
0,12,8.0,1.8429448247542572e-14,12.732395447351628
0,13,8.0,1.8429448247542572e-14,12.732395447351628
0,14,8.0,1.8429448247542572e-14,12.732395447351628
0,15,8.0,1.8429448247542572e-14,12.732395447351628
0,16,8.0,1.8429448247542572e-14,12.732395447351628
0,17,8.0,1.8429448247542572e-14,12.732395447351628
0,18,8.0,1.8429448247542572e-14,12.732395447351628
0,19,8.0,1.8429448247542572e-14,12.732395447351628
0,20,8.0,1.8429448247542572e-14,12.732395447351628
0,21,8.0,1.8429448247542572e-14,12.732395447351628
0,22,8.0,1.8429448247542572e-14,12.732395447351628
0,23,8.0,1.8429448247542572e-14,12.732395447351628
0,24,8.0,1.8429448247542572e-14,12.732395447351628
0,25,8.0,1.8429448247542572e-14,12.732395447351628
0,26,8.0,1.8429448247542572e-14,12.732395447351628
0,27,8.0,1.8429448247542572e-14,12.732395447351628
0,28,8.0,1.8429448247542572e-14,12.732395447351628
0,29,8.0,1.8429448247542572e-14,12.732395447351628
0,30,8.0,1.8429448247542572e-14,12.732395447351628
0,31,8.0,1.8429448247542572e-14,12.732395447351628
0,32,8.0,1.8429448247542572e-14,12.732395447351628
0,33,8.0,1.8429448247542572e-14,12.732395447351628
0,34,8.0,1.8429448247542572e-14,12.732395447351628
0,35,8.0,1.8429448247542572e-14,12.732395447351628
0,36,8.0,1.8429448247542572e-14,12.732395447351628
0,37,8.0,1.8429448247542572e-14,12.732395447351628
0,38,8.0,1.8429448247542572e-14,12.732395447351628
0,39,8.0,1.8429448247542572e-14,12.732395447351628
12,0,15.0,2.2778096131148506e-13,23.873241463784304
12,1,14.0,1.7284806735292864e-13,22.28169203286535
12,2,15.0,2.2778096131148506e-13,23.873241463784304
12,3,19.0,5.863633117841787e-13,30.239439187460118
12,4,18.0,4.723266013754953e-13,28.64788975654116
12,5,11.0,6.587537885553488e-14,17.50704374010849
12,6,7.0,1.080300420955804e-14,11.140846016432675
12,7,4.0,1.1518405154714108e-15,6.366197723675814
12,8,4.0,1.1518405154714108e-15,6.366197723675814
12,9,6.0,5.831192609574017e-15,9.549296585513721
12,10,8.0,1.8429448247542572e-14,12.732395447351628
12,11,4.0,1.1518405154714108e-15,6.366197723675814
12,12,4.0,1.1518405154714108e-15,6.366197723675814
12,13,4.0,1.1518405154714108e-15,6.366197723675814
12,14,4.0,1.1518405154714108e-15,6.366197723675814
12,15,18.0,4.723266013754953e-13,28.64788975654116
12,16,19.0,5.863633117841787e-13,30.239439187460118
12,17,13.0,1.2850670688429288e-13,20.6901426019464
12,18,13.0,1.2850670688429288e-13,20.6901426019464
12,19,16.0,2.9487117196068115e-13,25.464790894703256
12,20,7.0,1.080300420955804e-14,11.140846016432675
12,21,7.0,1.080300420955804e-14,11.140846016432675
12,22,1.0,4.499377013560198e-18,1.5915494309189535
12,23,1.0,4.499377013560198e-18,1.5915494309189535
12,24,2.0,7.199003221696317e-17,3.183098861837907
12,25,5.0,2.8121106334751225e-15,7.957747154594767
12,26,3.0,3.6444953809837606e-16,4.7746482927568605
12,27,2.0,7.199003221696317e-17,3.183098861837907
