step,time_days,dp_bifurc,n_prox_mean,n_dist_mean,total_cells
0,0.0,40.000000000000114,8.0,8.0,320.0
1,0.1388888888888889,59.03372104723677,7.6,7.8,320.0
2,0.2777777777777778,74.53971820179274,7.3,7.5,320.0
3,0.4166666666666667,78.55995921398734,7.0,7.35,320.0
4,0.5555555555555556,84.57084962486847,6.7,7.2,320.0
5,0.6944444444444445,86.9842579505804,6.7,6.85,320.0
6,0.8333333333333334,86.94128352847311,6.4,6.55,320.0
7,0.9722222222222223,90.95646842483616,6.1,6.3,320.0
8,1.1111111111111112,95.65308706592268,5.8,6.15,320.0
9,1.25,97.88052840102,5.6,5.9,320.0
10,1.388888888888889,99.12115010278336,5.3,5.65,320.0
11,1.527777777777778,99.22180536328169,5.2,5.45,320.0
12,1.6666666666666667,99.25492614202679,5.6,5.2,320.0
13,1.8055555555555556,98.98081904487957,6.4,5.05,320.0
14,1.9444444444444446,98.69264425002149,7.3,4.9,320.0
15,2.0833333333333335,97.95477340775768,7.8,4.95,320.0
16,2.2222222222222223,97.09801806434042,8.4,4.85,320.0
17,2.361111111111111,95.13614767815427,9.0,4.75,320.0
18,2.5,95.00914079576256,9.6,4.45,320.0
19,2.638888888888889,94.90722116075253,9.8,4.3,320.0
20,2.777777777777778,91.7004284514093,10.5,3.9,320.0
21,2.9166666666666665,82.03782491102082,11.0,3.7,320.0
22,3.055555555555556,46.31645166786044,12.0,3.6,320.0
23,3.1944444444444446,43.636642585800004,12.2,3.75,320.0
24,3.3333333333333335,43.961345794705124,12.2,3.7,320.0
25,3.4722222222222228,52.023185695118286,11.6,3.65,320.0
26,3.611111111111111,64.35943386520181,10.9,3.7,320.0
27,3.75,66.79103454563663,10.9,3.6,320.0
28,3.8888888888888893,71.14005247760687,10.8,3.55,320.0
29,4.027777777777778,76.48575729195652,10.5,3.65,320.0
30,4.166666666666667,76.38602353104493,10.8,3.65,320.0
31,4.305555555555556,74.13037612194788,11.2,3.7,320.0
32,4.444444444444445,75.75704069548783,11.3,3.65,320.0
33,4.583333333333333,83.96889532458538,10.8,3.65,320.0
34,4.722222222222222,86.75516944967679,10.2,3.3,320.0
35,4.861111111111112,87.89901982182789,10.4,2.8,320.0
36,5.0,87.54567899106328,11.4,2.35,320.0
