step,P_tau1,P_tau2,P_n1,P_n2,P1,P2
0,0.6666666666666667,0.33333333333333337,0.5,0.5,0.5750000000000001,0.42500000000000004
1,0.6009111443601899,0.39908885563981017,0.4791666666666667,0.5208333333333334,0.5339516816287522,0.46604831837124794
2,0.9172014399603011,0.08279856003969886,0.4791666666666667,0.5208333333333334,0.6762823146488022,0.3237176853511979
3,0.9141709769146668,0.08582902308533334,0.46938775510204084,0.5306122448979592,0.6695402049177226,0.33045979508227763
4,0.8215758646826304,0.17842413531736956,0.48936170212765956,0.5106382978723404,0.6388580752773965,0.36114192472260354
5,0.8750064350878807,0.12499356491211931,0.5227272727272727,0.4772727272727273,0.6812528957895463,0.3187471042104537
6,0.8693276799004519,0.13067232009954816,0.5238095238095238,0.47619047619047616,0.6792926940504416,0.3207073059495586
7,0.8950455085915408,0.10495449140845924,0.5111111111111111,0.4888888888888889,0.6838815899773044,0.3161184100226956
8,0.9429444199074565,0.057055580092543495,0.47058823529411764,0.5294117647058824,0.6831485183701201,0.31685148162987986
9,0.9961499331624414,0.0038500668375587117,0.4117647058823529,0.5882352941176471,0.6747380581583927,0.32526194184160734
10,0.9973222368222028,0.002677763177797245,0.375,0.625,0.6550450065699913,0.34495499343000874
11,0.9978426486550916,0.00215735134490843,0.3333333333333333,0.6666666666666666,0.6323625252281246,0.36763747477187547
12,0.998187803249678,0.001812196750322047,0.34285714285714286,0.6571428571428571,0.6377559400337837,0.36224405996621634
13,0.997939041475737,0.002060958524263001,0.36363636363636365,0.6363636363636364,0.6490725686640817,0.35092743133591836
14,0.9973288695354736,0.0026711304645264016,0.42424242424242425,0.5757575757575758,0.6821313246242965,0.31786867537570357
15,0.9973116228463261,0.002688377153673894,0.4594594594594595,0.5405405405405406,0.7014929329835495,0.2985070670164506
16,0.9966630340965092,0.003336965903490708,0.42857142857142855,0.5714285714285714,0.6842126510577149,0.3157873489422851
17,0.9986978161259272,0.0013021838740728843,0.3829787234042553,0.6170212765957447,0.6600523151290076,0.3399476848709924
18,0.9997040244497014,0.00029597555029855924,0.3409090909090909,0.6590909090909091,0.6373668110023656,0.36263318899763436
19,0.9873434141864269,0.012656585813573094,0.39473684210526316,0.6052631578947368,0.6614097995417869,0.3385902004582132
20,0.9753485018902591,0.02465149810974087,0.6216216216216216,0.3783783783783784,0.7807987177425085,0.21920128225749153
21,0.971671281263314,0.028328718736686027,0.8205128205128205,0.1794871794871795,0.8885341278505425,0.11146587214945744
22,0.9312609858482119,0.06873901415178799,0.8723404255319149,0.1276595744680851,0.8988546776742486,0.10114532232575141
23,0.9284224508130369,0.07157754918696306,0.875,0.125,0.8990401028658667,0.10095989713413339
24,0.9513928388759343,0.04860716112406572,0.8666666666666667,0.13333333333333333,0.9047934441608372,0.0952065558391629
25,0.9677768326438881,0.032223167356111936,0.85,0.15,0.9029995746897497,0.09700042531025038
26,0.961398584506857,0.038601415493142964,0.8333333333333334,0.16666666666666666,0.890962696361419,0.10903730363858101
27,0.9752515386128617,0.02474846138713822,0.8333333333333334,0.16666666666666666,0.8971965257091212,0.10280347429087887
28,0.9781946211172674,0.021805378882732544,0.8333333333333334,0.16666666666666666,0.8985209128361037,0.10147908716389632
29,0.9711781967376069,0.028821803262393118,0.8378378378378378,0.16216216216216217,0.8978409993427339,0.10215900065726612
30,0.9785288601871365,0.021471139812863412,0.8095238095238095,0.19047619047619047,0.8855760823223067,0.1144239176776933
31,0.9830004230635477,0.0169995769364523,0.7169811320754716,0.2830188679245283,0.8366898130201059,0.16331018697989413
32,0.98392543918037,0.01607456081962997,0.6461538461538462,0.35384615384615387,0.798151063015782,0.20184893698421813
33,0.9998321362576593,0.00016786374234066344,0.5522388059701493,0.44776119402985076,0.7536558045995289,0.24634419540047123
34,0.9996254044984827,0.0003745955015171583,0.5357142857142857,0.4642857142857143,0.7444742891671744,0.2555257108328256
35,0.9745658778329669,0.02543412216703313,0.5641025641025641,0.4358974358974359,0.7488110552812454,0.25118894471875464
36,0.9999999888774792,1.1122520791376779e-08,0.7,0.3,0.8349999949948657,0.16500000500513437
