step,P_tau1,P_tau2,P_n1,P_n2,P1,P2
0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333
1,0.593427834085207,0.40657216591479295,0.5319148936170213,0.46808510638297873,0.593427834085207,0.40657216591479295
2,0.6219827405592333,0.3780172594407667,0.5333333333333333,0.4666666666666667,0.6219827405592333,0.3780172594407667
3,0.3057057450485135,0.6942942549514864,0.4888888888888889,0.5111111111111111,0.3057057450485135,0.6942942549514864
4,0.6322273010849332,0.3677726989150668,0.4583333333333333,0.5416666666666666,0.6322273010849332,0.3677726989150668
5,0.5816572929643952,0.41834270703560483,0.45098039215686275,0.5490196078431373,0.5816572929643952,0.41834270703560483
6,0.4063655235307039,0.593634476469296,0.5,0.5,0.4063655235307039,0.593634476469296
7,0.2945302033622478,0.7054697966377522,0.5306122448979592,0.46938775510204084,0.2945302033622478,0.7054697966377522
8,0.045871224768985426,0.9541287752310146,0.5238095238095238,0.47619047619047616,0.045871224768985426,0.9541287752310146
9,0.06517542348211845,0.9348245765178815,0.4857142857142857,0.5142857142857142,0.06517542348211845,0.9348245765178815
10,0.5467333353231337,0.4532666646768662,0.375,0.625,0.5467333353231337,0.4532666646768662
11,0.690994362818457,0.30900563718154295,0.2647058823529412,0.7352941176470589,0.690994362818457,0.30900563718154295
12,0.8562652221510523,0.14373477784894767,0.16666666666666666,0.8333333333333334,0.8562652221510523,0.14373477784894767
13,0.7442704761520151,0.2557295238479848,0.23255813953488372,0.7674418604651163,0.7442704761520151,0.2557295238479848
14,0.6346671018668079,0.3653328981331922,0.3191489361702128,0.6808510638297872,0.6346671018668079,0.3653328981331922
15,0.4320324283475708,0.5679675716524293,0.3488372093023256,0.6511627906976745,0.4320324283475708,0.5679675716524293
16,0.9130757800722691,0.08692421992773094,0.34285714285714286,0.6571428571428571,0.9130757800722691,0.08692421992773094
17,8.86748963269813e-07,0.9999991132510367,0.21428571428571427,0.7857142857142857,8.86748963269813e-07,0.9999991132510367
18,2.743261111047658e-07,0.999999725673889,0.2,0.8,2.743261111047658e-07,0.999999725673889
19,2.9234466803362514e-08,0.9999999707655332,0.36,0.64,2.9234466803362514e-08,0.9999999707655332
20,1.1660217918562737e-08,0.9999999883397821,0.52,0.48,1.1660217918562737e-08,0.9999999883397821
21,1.3813804103459052e-10,0.9999999998618619,0.6296296296296297,0.37037037037037035,1.3813804103459052e-10,0.9999999998618619
22,4.830458848158796e-11,0.9999999999516954,0.71875,0.28125,4.830458848158796e-11,0.9999999999516954
23,2.5001817672743346e-11,0.9999999999749981,0.7567567567567568,0.24324324324324326,2.5001817672743346e-11,0.9999999999749981
24,3.740278452838936e-09,0.9999999962597216,0.7096774193548387,0.2903225806451613,3.740278452838936e-09,0.9999999962597216
25,3.717298875680162e-10,0.9999999996282701,0.5909090909090909,0.4090909090909091,3.717298875680162e-10,0.9999999996282701
26,2.8786496032797313e-10,0.999999999712135,0.18181818181818182,0.8181818181818182,2.8786496032797313e-10,0.999999999712135
27,0.0,1.0,0.0,1.0,0.0,1.0
28,0.0,1.0,0.0,1.0,0.0,1.0
29,0.0,1.0,0.0,1.0,0.0,1.0
30,0.0,1.0,0.0,1.0,0.0,1.0
31,0.0,1.0,0.0,1.0,0.0,1.0
32,0.0,1.0,0.0,1.0,0.0,1.0
33,0.0,1.0,0.0,1.0,0.0,1.0
34,0.0,1.0,0.0,1.0,0.0,1.0
35,0.0,1.0,0.0,1.0,0.0,1.0
36,0.0,1.0,0.0,1.0,0.0,1.0
