alpha,seed,loss_time,first_loss_branch,stable
0.0,534895719,26,1,0
0.0,199900596,0,0,1
0.0,862061405,0,0,1
0.0,787846415,0,0,1
0.0,996406379,0,0,1
0.0,127521864,0,0,1
0.0,423734973,27,2,0
0.0,415968277,0,0,1
0.0,670094951,0,0,1
0.0,841095290,16,1,0
0.0,669991379,13,1,0
0.0,429389015,0,0,1
0.0,249467211,27,2,0
0.0,898717131,29,2,0
0.0,498972760,0,0,1
0.0,359525749,0,0,1
0.0,434285668,0,0,1
0.0,613608296,0,0,1
0.0,893664920,0,0,1
0.0,648061059,0,0,1
0.0,88409750,0,0,1
0.0,242285877,0,0,1
0.0,944505602,19,1,0
0.0,953477464,17,1,0
0.0,354088428,21,1,0
0.0,809827742,0,0,1
0.0,911989542,0,0,1
0.0,3344770,0,0,1
0.0,780932288,11,1,0
0.0,787716373,27,2,0
0.0,504579233,0,0,1
0.0,232968652,29,2,0
0.0,479546682,0,0,1
0.0,106328086,23,2,0
0.0,30349565,0,0,1
0.0,781447916,0,0,1
0.0,99052377,0,0,1
0.0,177077809,0,0,1
0.0,106406363,0,0,1
0.0,480404539,0,0,1
0.0,643647999,28,2,0
0.0,599121578,33,1,0
0.0,200427520,0,0,1
0.0,181009884,0,0,1
0.0,961022652,0,0,1
0.0,499770320,20,1,0
0.0,999745295,0,0,1
0.0,885063870,0,0,1
0.0,389151678,0,0,1
0.0,151079599,0,0,1
0.0,508464062,0,0,1
0.0,857592371,26,2,0
0.0,568919916,0,0,1
0.0,61136439,0,0,1
0.0,396917568,0,0,1
0.0,930989561,0,0,1
0.0,199502979,0,0,1
0.0,472190437,0,0,1
0.0,461901619,0,0,1
0.0,774414983,0,0,1
0.05,534895719,27,2,0
0.05,199900596,0,0,1
0.05,862061405,0,0,1
0.05,787846415,0,0,1
0.05,996406379,0,0,1
0.05,127521864,0,0,1
0.05,423734973,0,0,1
0.05,415968277,0,0,1
0.05,670094951,0,0,1
0.05,841095290,16,1,0
0.05,669991379,13,1,0
0.05,429389015,20,1,0
0.05,249467211,27,2,0
0.05,898717131,29,2,0
0.05,498972760,0,0,1
0.05,359525749,0,0,1
0.05,434285668,0,0,1
0.05,613608296,0,0,1
0.05,893664920,0,0,1
0.05,648061059,0,0,1
0.05,88409750,0,0,1
0.05,242285877,0,0,1
0.05,944505602,19,1,0
0.05,953477464,0,0,1
0.05,354088428,21,1,0
0.05,809827742,0,0,1
0.05,911989542,0,0,1
0.05,3344770,0,0,1
0.05,780932288,11,1,0
0.05,787716373,27,2,0
0.05,504579233,0,0,1
0.05,232968652,0,0,1
0.05,479546682,0,0,1
0.05,106328086,0,0,1
0.05,30349565,0,0,1
0.05,781447916,0,0,1
0.05,99052377,0,0,1
0.05,177077809,0,0,1
0.05,106406363,0,0,1
0.05,480404539,0,0,1
0.05,643647999,28,2,0
0.05,599121578,0,0,1
0.05,200427520,0,0,1
0.05,181009884,0,0,1
0.05,961022652,0,0,1
0.05,499770320,20,1,0
0.05,999745295,0,0,1
0.05,885063870,0,0,1
0.05,389151678,0,0,1
0.05,151079599,0,0,1
