alpha,day,day_label,n_total,n_loss_in_day,loss_pct
0.0,1,Day 1,50,0,0.0
0.0,2,Day 2,50,2,4.0
0.0,3,Day 3,50,5,10.0
0.0,4,Day 4,50,6,12.0
0.0,5,Day 5,50,3,6.0
0.01,1,Day 1,50,0,0.0
0.01,2,Day 2,50,2,4.0
0.01,3,Day 3,50,4,8.0
0.01,4,Day 4,50,7,14.0
0.01,5,Day 5,50,5,10.0
0.02,1,Day 1,50,0,0.0
0.02,2,Day 2,50,2,4.0
0.02,3,Day 3,50,4,8.0
0.02,4,Day 4,50,5,10.0
0.02,5,Day 5,50,2,4.0
0.03,1,Day 1,50,0,0.0
0.03,2,Day 2,50,2,4.0
0.03,3,Day 3,50,5,10.0
0.03,4,Day 4,50,5,10.0
0.03,5,Day 5,50,1,2.0
0.04,1,Day 1,50,0,0.0
0.04,2,Day 2,50,2,4.0
0.04,3,Day 3,50,5,10.0
0.04,4,Day 4,50,5,10.0
0.04,5,Day 5,50,1,2.0
0.05,1,Day 1,50,0,0.0
0.05,2,Day 2,50,2,4.0
0.05,3,Day 3,50,5,10.0
0.05,4,Day 4,50,4,8.0
0.05,5,Day 5,50,1,2.0
0.06,1,Day 1,50,0,0.0
0.06,2,Day 2,50,2,4.0
0.06,3,Day 3,50,3,6.0
0.06,4,Day 4,50,5,10.0
0.06,5,Day 5,50,1,2.0
0.07,1,Day 1,50,0,0.0
0.07,2,Day 2,50,2,4.0
0.07,3,Day 3,50,2,4.0
0.07,4,Day 4,50,5,10.0
0.07,5,Day 5,50,2,4.0
0.08,1,Day 1,50,0,0.0
0.08,2,Day 2,50,2,4.0
0.08,3,Day 3,50,2,4.0
0.08,4,Day 4,50,5,10.0
0.08,5,Day 5,50,2,4.0
0.09,1,Day 1,50,0,0.0
0.09,2,Day 2,50,2,4.0
0.09,3,Day 3,50,2,4.0
0.09,4,Day 4,50,7,14.0
0.09,5,Day 5,50,1,2.0
0.1,1,Day 1,50,0,0.0
0.1,2,Day 2,50,2,4.0
0.1,3,Day 3,50,2,4.0
0.1,4,Day 4,50,6,12.0
0.1,5,Day 5,50,1,2.0
0.11,1,Day 1,50,0,0.0
0.11,2,Day 2,50,2,4.0
0.11,3,Day 3,50,1,2.0
0.11,4,Day 4,50,5,10.0
0.11,5,Day 5,50,2,4.0
0.12,1,Day 1,50,0,0.0
0.12,2,Day 2,50,1,2.0
0.12,3,Day 3,50,1,2.0
0.12,4,Day 4,50,4,8.0
0.12,5,Day 5,50,2,4.0
0.13,1,Day 1,50,0,0.0
0.13,2,Day 2,50,1,2.0
0.13,3,Day 3,50,1,2.0
0.13,4,Day 4,50,5,10.0
0.13,5,Day 5,50,2,4.0
0.14,1,Day 1,50,0,0.0
0.14,2,Day 2,50,1,2.0
0.14,3,Day 3,50,1,2.0
0.14,4,Day 4,50,5,10.0
0.14,5,Day 5,50,2,4.0
0.15,1,Day 1,50,0,0.0
0.15,2,Day 2,50,1,2.0
0.15,3,Day 3,50,1,2.0
0.15,4,Day 4,50,6,12.0
0.15,5,Day 5,50,1,2.0
0.16,1,Day 1,50,0,0.0
0.16,2,Day 2,50,1,2.0
0.16,3,Day 3,50,0,0.0
0.16,4,Day 4,50,6,12.0
0.16,5,Day 5,50,1,2.0
0.17,1,Day 1,50,0,0.0
0.17,2,Day 2,50,1,2.0
0.17,3,Day 3,50,0,0.0
0.17,4,Day 4,50,5,10.0
0.17,5,Day 5,50,2,4.0
0.18,1,Day 1,50,0,0.0
0.18,2,Day 2,50,1,2.0
0.18,3,Day 3,50,0,0.0
0.18,4,Day 4,50,5,10.0
0.18,5,Day 5,50,1,2.0
0.19,1,Day 1,50,0,0.0
0.19,2,Day 2,50,1,2.0
0.19,3,Day 3,50,0,0.0
0.19,4,Day 4,50,5,10.0
0.19,5,Day 5,50,1,2.0
0.2,1,Day 1,50,0,0.0
0.2,2,Day 2,50,2,4.0
0.2,3,Day 3,50,0,0.0
0.2,4,Day 4,50,5,10.0
0.2,5,Day 5,50,1,2.0
0.21,1,Day 1,50,0,0.0
0.21,2,Day 2,50,2,4.0
0.21,3,Day 3,50,0,0.0
0.21,4,Day 4,50,5,10.0
0.21,5,Day 5,50,1,2.0
0.22,1,Day 1,50,0,0.0
0.22,2,Day 2,50,2,4.0
0.22,3,Day 3,50,0,0.0
0.22,4,Day 4,50,5,10.0
0.22,5,Day 5,50,1,2.0
0.23,1,Day 1,50,0,0.0
0.23,2,Day 2,50,2,4.0
0.23,3,Day 3,50,0,0.0
0.23,4,Day 4,50,5,10.0
