seg,x1,y1,x2,y2,vessel
0,0.0,0.0,0.0,10000000.0,feeding
1,0.0,10000000.0,0.0,20000000.0,feeding
2,0.0,20000000.0,0.0,30000000.0,feeding
3,0.0,30000000.0,0.0,40000000.0,feeding
4,0.0,40000000.0,0.0,50000000.0,feeding
5,0.0,50000000.0,10000000.0,50000000.0,proximal
6,10000000.0,50000000.0,20000000.0,50000000.0,proximal
7,20000000.0,50000000.0,30000000.0,50000000.0,proximal
8,30000000.0,50000000.0,40000000.0,50000000.0,proximal
9,40000000.0,50000000.0,50000000.0,50000000.0,proximal
10,50000000.0,50000000.0,60000000.0,50000000.0,proximal
11,60000000.0,50000000.0,70000000.0,50000000.0,proximal
12,70000000.0,50000000.0,80000000.0,50000000.0,proximal
13,80000000.0,50000000.0,90000000.0,50000000.0,proximal
14,90000000.0,50000000.0,100000000.0,50000000.0,proximal
15,100000000.0,50000000.0,100000000.0,40000000.0,draining
16,100000000.0,40000000.0,100000000.0,30000000.0,draining
17,100000000.0,30000000.0,100000000.0,20000000.0,draining
18,100000000.0,20000000.0,100000000.0,10000000.0,draining
19,100000000.0,10000000.0,100000000.0,0.0,draining
20,0.0,50000000.0,0.0,60000000.0,distal
21,0.0,60000000.0,0.0,70000000.0,distal
22,0.0,70000000.0,0.0,80000000.0,distal
23,0.0,80000000.0,0.0,90000000.0,distal
24,0.0,90000000.0,0.0,100000000.0,distal
25,0.0,100000000.0,10000000.0,100000000.0,distal
26,10000000.0,100000000.0,20000000.0,100000000.0,distal
27,20000000.0,100000000.0,30000000.0,100000000.0,distal
28,30000000.0,100000000.0,40000000.0,100000000.0,distal
29,40000000.0,100000000.0,50000000.0,100000000.0,distal
30,50000000.0,100000000.0,60000000.0,100000000.0,distal
31,60000000.0,100000000.0,70000000.0,100000000.0,distal
32,70000000.0,100000000.0,80000000.0,100000000.0,distal
33,80000000.0,100000000.0,90000000.0,100000000.0,distal
34,90000000.0,100000000.0,100000000.0,100000000.0,distal
35,100000000.0,100000000.0,100000000.0,90000000.0,distal
36,100000000.0,90000000.0,100000000.0,80000000.0,distal
37,100000000.0,80000000.0,100000000.0,70000000.0,distal
38,100000000.0,70000000.0,100000000.0,60000000.0,distal
39,100000000.0,60000000.0,100000000.0,50000000.0,distal
