alpha,step,time_days,branch_collapse_pct
0.0,0,0.0,0.0
0.0,1,0.1388888888888889,2.0
0.0,2,0.2777777777777778,6.0
0.0,3,0.4166666666666667,6.0
0.0,4,0.5555555555555556,10.0
0.0,5,0.6944444444444444,10.0
0.0,6,0.8333333333333334,14.0
0.0,7,0.9722222222222223,18.0
0.0,8,1.1111111111111112,30.0
0.0,9,1.25,34.0
0.0,10,1.3888888888888888,40.0
0.0,11,1.527777777777778,42.0
0.0,12,1.6666666666666667,44.0
0.0,13,1.8055555555555556,44.0
0.0,14,1.9444444444444446,44.0
0.0,15,2.0833333333333335,44.0
0.0,16,2.2222222222222223,46.0
0.0,17,2.361111111111111,46.0
0.0,18,2.5,48.0
0.0,19,2.638888888888889,48.0
0.0,20,2.7777777777777777,48.0
0.0,21,2.916666666666667,48.0
0.0,22,3.055555555555556,48.0
0.0,23,3.1944444444444446,52.0
0.0,24,3.3333333333333335,52.0
0.0,25,3.4722222222222223,52.0
0.0,26,3.611111111111111,52.0
0.0,27,3.75,52.0
0.0,28,3.8888888888888893,52.0
0.0,29,4.027777777777778,54.0
0.0,30,4.166666666666667,54.0
0.0,31,4.305555555555555,56.0
0.0,32,4.444444444444445,58.0
0.0,33,4.583333333333334,58.0
0.0,34,4.722222222222222,58.0
0.0,35,4.861111111111112,62.0
0.0,36,5.0,62.0
0.01,0,0.0,0.0
0.01,1,0.1388888888888889,2.0
0.01,2,0.2777777777777778,6.0
0.01,3,0.4166666666666667,6.0
0.01,4,0.5555555555555556,10.0
0.01,5,0.6944444444444444,10.0
0.01,6,0.8333333333333334,14.0
0.01,7,0.9722222222222223,18.0
0.01,8,1.1111111111111112,30.0
0.01,9,1.25,34.0
0.01,10,1.3888888888888888,40.0
0.01,11,1.527777777777778,42.0
0.01,12,1.6666666666666667,44.0
0.01,13,1.8055555555555556,44.0
0.01,14,1.9444444444444446,44.0
0.01,15,2.0833333333333335,44.0
0.01,16,2.2222222222222223,44.0
0.01,17,2.361111111111111,44.0
0.01,18,2.5,44.0
0.01,19,2.638888888888889,44.0
0.01,20,2.7777777777777777,44.0
0.01,21,2.916666666666667,44.0
0.01,22,3.055555555555556,46.0
0.01,23,3.1944444444444446,48.0
0.01,24,3.3333333333333335,48.0
0.01,25,3.4722222222222223,50.0
0.01,26,3.611111111111111,52.0
0.01,27,3.75,52.0
0.01,28,3.8888888888888893,52.0
0.01,29,4.027777777777778,56.0
0.01,30,4.166666666666667,56.0
0.01,31,4.305555555555555,58.0
0.01,32,4.444444444444445,58.0
0.01,33,4.583333333333334,58.0
0.01,34,4.722222222222222,58.0
0.01,35,4.861111111111112,58.0
0.01,36,5.0,60.0
0.02,0,0.0,0.0
