alpha,n_total,n_stable,loss_pct,loss_ci_lo,loss_ci_hi,branch_collapse_pct,branch_collapse_ci_lo,branch_collapse_ci_hi,hierarchy_pct,hierarchy_ci_lo,hierarchy_ci_hi,joint_success_pct,joint_success_ci_lo,joint_success_ci_hi,stable_hierarchy_pct,mean_final_prox_diam,mean_final_dist_diam,mean_final_delta
0.0,50,34,32.0,20.76,45.81,62.0,48.15,74.14,54.0,40.4,67.03,42.0,29.37,55.77,61.76,10.819,8.706,2.114
0.01,50,32,36.0,24.14,49.86,60.0,46.18,72.39,48.0,34.8,61.49,32.0,20.76,45.81,50.0,10.638,8.811,1.827
0.02,50,37,26.0,15.87,39.55,60.0,46.18,72.39,50.0,36.64,63.36,36.0,24.14,49.86,48.65,10.705,8.817,1.888
0.03,50,37,26.0,15.87,39.55,64.0,50.14,75.86,48.0,34.8,61.49,36.0,24.14,49.86,48.65,10.227,8.983,1.245
0.04,50,37,26.0,15.87,39.55,52.0,38.51,65.2,54.0,40.4,67.03,44.0,31.16,57.69,59.46,11.014,8.286,2.728
0.05,50,38,24.0,14.3,37.41,54.0,40.4,67.03,60.0,46.18,72.39,52.0,38.51,65.2,68.42,11.863,7.404,4.46
0.06,50,39,22.0,12.75,35.24,52.0,38.51,65.2,58.0,44.23,70.63,48.0,34.8,61.49,61.54,11.561,7.786,3.775
0.07,50,39,22.0,12.75,35.24,44.0,31.16,57.69,60.0,46.18,72.39,50.0,36.64,63.36,64.1,11.988,7.573,4.415
0.08,50,39,22.0,12.75,35.24,40.0,27.61,53.82,64.0,50.14,75.86,54.0,40.4,67.03,69.23,12.35,7.522,4.829
0.09,50,38,24.0,14.3,37.41,44.0,31.16,57.69,74.0,60.45,84.13,60.0,46.18,72.39,78.95,13.519,6.439,7.079
0.1,50,39,22.0,12.75,35.24,46.0,32.97,59.6,72.0,58.33,82.53,60.0,46.18,72.39,76.92,13.044,6.694,6.35
0.11,50,40,20.0,11.24,33.04,46.0,32.97,59.6,76.0,62.59,85.7,66.0,52.15,77.56,82.5,12.93,6.84,6.089
0.12,50,42,16.0,8.34,28.51,40.0,27.61,53.82,78.0,64.76,87.25,68.0,54.19,79.24,80.95,13.452,6.468,6.984
0.13,50,41,18.0,9.77,30.8,40.0,27.61,53.82,74.0,60.45,84.13,62.0,48.15,74.14,75.61,13.655,6.551,7.105
0.14,50,41,18.0,9.77,30.8,36.0,24.14,49.86,74.0,60.45,84.13,62.0,48.15,74.14,75.61,13.331,6.793,6.538
0.15,50,41,18.0,9.77,30.8,42.0,29.37,55.77,82.0,69.2,90.23,70.0,56.25,80.9,85.37,14.267,5.675,8.591
0.16,50,42,16.0,8.34,28.51,44.0,31.16,57.69,82.0,69.2,90.23,70.0,56.25,80.9,83.33,14.12,5.921,8.2
0.17,50,42,16.0,8.34,28.51,40.0,27.61,53.82,80.0,66.96,88.76,66.0,52.15,77.56,78.57,14.2,6.013,8.187
0.18,50,43,14.0,6.95,26.19,42.0,29.37,55.77,80.0,66.96,88.76,68.0,54.19,79.24,79.07,13.872,6.28,7.592
0.19,50,43,14.0,6.95,26.19,46.0,32.97,59.6,80.0,66.96,88.76,68.0,54.19,79.24,79.07,14.311,5.733,8.578
0.2,50,42,16.0,8.34,28.51,44.0,31.16,57.69,82.0,69.2,90.23,70.0,56.25,80.9,83.33,14.419,5.58,8.839
0.21,50,42,16.0,8.34,28.51,52.0,38.51,65.2,80.0,66.96,88.76,68.0,54.19,79.24,80.95,15.142,4.892,10.25
0.22,50,42,16.0,8.34,28.51,52.0,38.51,65.2,80.0,66.96,88.76,68.0,54.19,79.24,80.95,15.117,5.039,10.078
0.23,50,40,20.0,11.24,33.04,56.0,42.31,68.84,82.0,69.2,90.23,68.0,54.19,79.24,85.0,15.378,4.972,10.406
