alpha,seed,event_step,event_day,event_observed
0.1,534895719,9,1.25,1
0.1,199900596,24,3.333333,1
0.1,862061405,26,3.611111,1
0.1,787846415,33,4.583333,1
0.1,996406379,6,0.833333,1
0.1,127521864,19,2.638889,1
0.1,423734973,9,1.25,1
0.1,415968277,13,1.805556,1
0.1,670094951,14,1.944444,1
0.1,841095290,0,0.0,0
0.1,669991379,0,0.0,0
0.1,429389015,0,0.0,0
0.1,249467211,8,1.111111,1
0.1,898717131,10,1.388889,1
0.1,498972760,13,1.805556,1
0.1,359525749,0,0.0,0
0.1,434285668,17,2.361111,1
0.1,613608296,14,1.944444,1
0.1,893664920,0,0.0,0
0.1,648061059,8,1.111111,1
0.1,88409750,9,1.25,1
0.1,242285877,21,2.916667,1
0.1,944505602,0,0.0,0
0.1,953477464,0,0.0,0
0.1,354088428,0,0.0,0
0.1,809827742,0,0.0,0
0.1,911989542,0,0.0,0
0.1,3344770,27,3.75,1
0.1,780932288,0,0.0,0
0.1,787716373,9,1.25,1
0.1,504579233,19,2.638889,1
0.1,232968652,23,3.194444,1
0.1,479546682,12,1.666667,1
0.1,106328086,8,1.111111,1
0.1,30349565,29,4.027778,1
0.1,781447916,32,4.444444,1
0.1,99052377,0,0.0,0
0.1,177077809,0,0.0,0
0.1,106406363,12,1.666667,1
0.1,480404539,0,0.0,0
0.1,643647999,10,1.388889,1
0.1,599121578,8,1.111111,1
0.1,200427520,31,4.305556,1
0.1,181009884,17,2.361111,1
0.1,961022652,31,4.305556,1
0.1,499770320,29,4.027778,1
0.1,999745295,26,3.611111,1
0.1,885063870,18,2.5,1
0.1,389151678,0,0.0,0
0.1,151079599,15,2.083333,1
0.1,508464062,8,1.111111,1
0.1,857592371,8,1.111111,1
0.1,568919916,12,1.666667,1
0.1,61136439,24,3.333333,1
0.1,396917568,10,1.388889,1
0.1,930989561,23,3.194444,1
0.1,199502979,21,2.916667,1
0.1,472190437,12,1.666667,1
0.1,461901619,0,0.0,0
0.1,774414983,0,0.0,0
0.45,534895719,10,1.388889,1
0.45,199900596,13,1.805556,1
0.45,862061405,26,3.611111,1
0.45,787846415,5,0.694444,1
0.45,996406379,6,0.833333,1
0.45,127521864,17,2.361111,1
0.45,423734973,9,1.25,1
0.45,415968277,0,0.0,0
0.45,670094951,11,1.527778,1
0.45,841095290,16,2.222222,1
0.45,669991379,23,3.194444,1
0.45,429389015,0,0.0,0
0.45,249467211,8,1.111111,1
0.45,898717131,7,0.972222,1
0.45,498972760,14,1.944444,1
0.45,359525749,10,1.388889,1
0.45,434285668,9,1.25,1
0.45,613608296,20,2.777778,1
0.45,893664920,0,0.0,0
0.45,648061059,7,0.972222,1
0.45,88409750,10,1.388889,1
0.45,242285877,31,4.305556,1
0.45,944505602,0,0.0,0
0.45,953477464,9,1.25,1
0.45,354088428,0,0.0,0
0.45,809827742,8,1.111111,1
0.45,911989542,24,3.333333,1
0.45,3344770,19,2.638889,1
0.45,780932288,0,0.0,0
0.45,787716373,14,1.944444,1
0.45,504579233,9,1.25,1
0.45,232968652,0,0.0,0
0.45,479546682,6,0.833333,1
0.45,106328086,7,0.972222,1
0.45,30349565,17,2.361111,1
0.45,781447916,26,3.611111,1
0.45,99052377,32,4.444444,1
0.45,177077809,0,0.0,0
0.45,106406363,27,3.75,1
0.45,480404539,35,4.861111,1
0.45,643647999,17,2.361111,1
0.45,599121578,7,0.972222,1
0.45,200427520,16,2.222222,1
0.45,181009884,17,2.361111,1
0.45,961022652,25,3.472222,1
0.45,499770320,30,4.166667,1
0.45,999745295,0,0.0,0
0.45,885063870,10,1.388889,1
0.45,389151678,5,0.694444,1
0.45,151079599,19,2.638889,1
0.45,508464062,11,1.527778,1
0.45,857592371,10,1.388889,1
0.45,568919916,11,1.527778,1
0.45,61136439,13,1.805556,1
0.45,396917568,14,1.944444,1
0.45,930989561,22,3.055556,1
0.45,199502979,28,3.888889,1
0.45,472190437,11,1.527778,1
0.45,461901619,23,3.194444,1
0.45,774414983,0,0.0,0
1.0,534895719,29,4.027778,1
1.0,199900596,15,2.083333,1
1.0,862061405,21,2.916667,1
1.0,787846415,5,0.694444,1
1.0,996406379,6,0.833333,1
1.0,127521864,22,3.055556,1
1.0,423734973,8,1.111111,1
1.0,415968277,29,4.027778,1
1.0,670094951,11,1.527778,1
1.0,841095290,10,1.388889,1
1.0,669991379,9,1.25,1
1.0,429389015,0,0.0,0
1.0,249467211,4,0.555556,1
1.0,898717131,11,1.527778,1
1.0,498972760,22,3.055556,1
1.0,359525749,11,1.527778,1
1.0,434285668,4,0.555556,1
1.0,613608296,14,1.944444,1
1.0,893664920,21,2.916667,1
1.0,648061059,8,1.111111,1
1.0,88409750,25,3.472222,1
1.0,242285877,18,2.5,1
1.0,944505602,0,0.0,0
1.0,953477464,7,0.972222,1
1.0,354088428,12,1.666667,1
1.0,809827742,19,2.638889,1
1.0,911989542,7,0.972222,1
1.0,3344770,6,0.833333,1
1.0,780932288,28,3.888889,1
1.0,787716373,10,1.388889,1
1.0,504579233,4,0.555556,1
1.0,232968652,9,1.25,1
1.0,479546682,9,1.25,1
1.0,106328086,0,0.0,0
1.0,30349565,16,2.222222,1
1.0,781447916,0,0.0,0
1.0,99052377,15,2.083333,1
1.0,177077809,23,3.194444,1
1.0,106406363,18,2.5,1
1.0,480404539,16,2.222222,1
1.0,643647999,21,2.916667,1
1.0,599121578,5,0.694444,1
1.0,200427520,11,1.527778,1
1.0,181009884,13,1.805556,1
1.0,961022652,9,1.25,1
1.0,499770320,5,0.694444,1
1.0,999745295,0,0.0,0
1.0,885063870,10,1.388889,1
1.0,389151678,5,0.694444,1
1.0,151079599,10,1.388889,1
1.0,508464062,13,1.805556,1
1.0,857592371,28,3.888889,1
1.0,568919916,15,2.083333,1
1.0,61136439,12,1.666667,1
1.0,396917568,4,0.555556,1
1.0,930989561,25,3.472222,1
1.0,199502979,28,3.888889,1
1.0,472190437,8,1.111111,1
1.0,461901619,0,0.0,0
1.0,774414983,17,2.361111,1
