alpha,event,step,time_days,cumulative_pct
0.1,One-sided routing,0,0.0,0.0
0.1,One-sided routing,1,0.1388888888888889,0.0
0.1,One-sided routing,2,0.2777777777777778,0.0
0.1,One-sided routing,3,0.4166666666666667,0.0
0.1,One-sided routing,4,0.5555555555555556,0.0
0.1,One-sided routing,5,0.6944444444444444,0.0
0.1,One-sided routing,6,0.8333333333333334,0.0
0.1,One-sided routing,7,0.9722222222222223,0.0
0.1,One-sided routing,8,1.1111111111111112,0.0
0.1,One-sided routing,9,1.25,0.0
0.1,One-sided routing,10,1.3888888888888888,3.3333333333333335
0.1,One-sided routing,11,1.527777777777778,13.333333333333334
0.1,One-sided routing,12,1.6666666666666667,15.0
0.1,One-sided routing,13,1.8055555555555556,15.0
0.1,One-sided routing,14,1.9444444444444446,15.0
0.1,One-sided routing,15,2.0833333333333335,16.666666666666668
0.1,One-sided routing,16,2.2222222222222223,16.666666666666668
0.1,One-sided routing,17,2.361111111111111,16.666666666666668
0.1,One-sided routing,18,2.5,16.666666666666668
0.1,One-sided routing,19,2.638888888888889,16.666666666666668
0.1,One-sided routing,20,2.7777777777777777,18.333333333333332
0.1,One-sided routing,21,2.916666666666667,40.0
0.1,One-sided routing,22,3.055555555555556,51.666666666666664
0.1,One-sided routing,23,3.1944444444444446,53.333333333333336
0.1,One-sided routing,24,3.3333333333333335,58.333333333333336
0.1,One-sided routing,25,3.4722222222222223,60.0
0.1,One-sided routing,26,3.611111111111111,60.0
0.1,One-sided routing,27,3.75,63.333333333333336
0.1,One-sided routing,28,3.8888888888888893,63.333333333333336
0.1,One-sided routing,29,4.027777777777778,63.333333333333336
0.1,One-sided routing,30,4.166666666666667,63.333333333333336
0.1,One-sided routing,31,4.305555555555555,63.333333333333336
0.1,One-sided routing,32,4.444444444444445,63.333333333333336
0.1,One-sided routing,33,4.583333333333334,63.333333333333336
0.1,One-sided routing,34,4.722222222222222,65.0
0.1,One-sided routing,35,4.861111111111112,65.0
0.1,One-sided routing,36,5.0,65.0
0.45,One-sided routing,0,0.0,0.0
0.45,One-sided routing,1,0.1388888888888889,0.0
0.45,One-sided routing,2,0.2777777777777778,0.0
0.45,One-sided routing,3,0.4166666666666667,0.0
0.45,One-sided routing,4,0.5555555555555556,0.0
0.45,One-sided routing,5,0.6944444444444444,0.0
0.45,One-sided routing,6,0.8333333333333334,0.0
0.45,One-sided routing,7,0.9722222222222223,0.0
0.45,One-sided routing,8,1.1111111111111112,0.0
0.45,One-sided routing,9,1.25,1.6666666666666667
0.45,One-sided routing,10,1.3888888888888888,5.0
0.45,One-sided routing,11,1.527777777777778,6.666666666666667
0.45,One-sided routing,12,1.6666666666666667,6.666666666666667
0.45,One-sided routing,13,1.8055555555555556,6.666666666666667
0.45,One-sided routing,14,1.9444444444444446,6.666666666666667
0.45,One-sided routing,15,2.0833333333333335,6.666666666666667
0.45,One-sided routing,16,2.2222222222222223,6.666666666666667
0.45,One-sided routing,17,2.361111111111111,6.666666666666667
0.45,One-sided routing,18,2.5,6.666666666666667
0.45,One-sided routing,19,2.638888888888889,8.333333333333334
0.45,One-sided routing,20,2.7777777777777777,28.333333333333332
0.45,One-sided routing,21,2.916666666666667,51.666666666666664
0.45,One-sided routing,22,3.055555555555556,65.0
