alpha,seed,event_step,event_day,event_observed,dominant_branch,max_probability
0.1,534895719,21,2.916667,1,proximal-dominant,0.9534482751466826
0.1,199900596,0,0.0,0,none,0.7662531006807136
0.1,862061405,0,0.0,0,none,0.7617647057447787
0.1,787846415,23,3.194444,1,proximal-dominant,0.8091752174528898
0.1,996406379,21,2.916667,1,proximal-dominant,1.0
0.1,127521864,0,0.0,0,none,0.8056619239858042
0.1,423734973,21,2.916667,1,proximal-dominant,0.8275969975007197
0.1,415968277,24,3.333333,1,proximal-dominant,0.8442307689977155
0.1,670094951,27,3.75,1,proximal-dominant,0.868925221253343
0.1,841095290,11,1.527778,1,distal-dominant,1.0
0.1,669991379,11,1.527778,1,distal-dominant,1.0
0.1,429389015,11,1.527778,1,distal-dominant,0.9571427902466288
0.1,249467211,21,2.916667,1,proximal-dominant,0.9053404690431139
0.1,898717131,22,3.055556,1,proximal-dominant,1.0
0.1,498972760,24,3.333333,1,proximal-dominant,0.891999999621576
0.1,359525749,0,0.0,0,none,0.7828418534755646
0.1,434285668,22,3.055556,1,proximal-dominant,0.8672559085975874
0.1,613608296,22,3.055556,1,proximal-dominant,0.8354367178420857
0.1,893664920,15,2.083333,1,distal-dominant,0.8641509409413
0.1,648061059,21,2.916667,1,proximal-dominant,0.9350535699657643
0.1,88409750,22,3.055556,1,proximal-dominant,0.8843655169465561
0.1,242285877,0,0.0,0,none,0.7813697957361446
0.1,944505602,11,1.527778,1,distal-dominant,0.96999999687766
0.1,953477464,34,4.722222,1,distal-dominant,0.8159684923341576
0.1,354088428,11,1.527778,1,distal-dominant,0.8607741463291178
0.1,809827742,0,0.0,0,none,0.7808440311293161
0.1,911989542,0,0.0,0,none,0.7933738755939822
0.1,3344770,0,0.0,0,none,0.7448109992129585
0.1,780932288,10,1.388889,1,distal-dominant,1.0
0.1,787716373,21,2.916667,1,proximal-dominant,0.9549999980477827
0.1,504579233,20,2.777778,1,proximal-dominant,0.8285209310983216
0.1,232968652,0,0.0,0,none,0.791922214692021
0.1,479546682,21,2.916667,1,proximal-dominant,0.8431475632121769
0.1,106328086,21,2.916667,1,proximal-dominant,0.9230143656924985
0.1,30349565,0,0.0,0,none,0.7571286590038909
0.1,781447916,0,0.0,0,none,0.79540544800355
0.1,99052377,10,1.388889,1,distal-dominant,0.8499999965659604
0.1,177077809,0,0.0,0,none,0.7497588282587117
0.1,106406363,0,0.0,0,none,0.8071280808453194
0.1,480404539,0,0.0,0,none,0.7509551424841222
0.1,643647999,22,3.055556,1,proximal-dominant,0.9249999980999235
0.1,599121578,21,2.916667,1,proximal-dominant,0.941935483258273
0.1,200427520,0,0.0,0,none,0.7534146912567334
0.1,181009884,27,3.75,1,proximal-dominant,0.8257397080876917
0.1,961022652,0,0.0,0,none,0.7588391571561056
0.1,499770320,12,1.666667,1,distal-dominant,0.815153000761428
0.1,999745295,25,3.472222,1,proximal-dominant,0.8593565462348488
0.1,885063870,22,3.055556,1,proximal-dominant,0.8826086954302085
0.1,389151678,0,0.0,0,none,0.8006460223314551
0.1,151079599,0,0.0,0,none,0.7524514020184375
0.1,508464062,22,3.055556,1,proximal-dominant,0.9448979588813378
0.1,857592371,21,2.916667,1,proximal-dominant,0.9459999963103471
0.1,568919916,21,2.916667,1,proximal-dominant,0.8744217625537049
0.1,61136439,0,0.0,0,none,0.8024390242293957
0.1,396917568,21,2.916667,1,proximal-dominant,0.9509090898609859
0.1,930989561,24,3.333333,1,proximal-dominant,0.813834944957867
0.1,199502979,0,0.0,0,none,0.8004376564784381
0.1,472190437,21,2.916667,1,proximal-dominant,0.922081797631655
0.1,461901619,0,0.0,0,none,0.8057510289289711
0.1,774414983,11,1.527778,1,distal-dominant,0.8660695899335105
0.45,534895719,20,2.777778,1,proximal-dominant,0.9822580644561032
0.45,199900596,21,2.916667,1,proximal-dominant,0.9047934441608134
0.45,862061405,0,0.0,0,none,0.7197051808671568
0.45,787846415,20,2.777778,1,proximal-dominant,1.0
0.45,996406379,19,2.638889,1,proximal-dominant,1.0
0.45,127521864,23,3.194444,1,proximal-dominant,0.8999999996765011
0.45,423734973,20,2.777778,1,proximal-dominant,0.8892265274142419
0.45,415968277,0,0.0,0,none,0.7562624885440496
0.45,670094951,21,2.916667,1,proximal-dominant,0.9541666552049528
0.45,841095290,22,3.055556,1,proximal-dominant,0.9336206891184304
0.45,669991379,22,3.055556,1,proximal-dominant,0.8446379931853859
0.45,429389015,9,1.25,1,distal-dominant,1.0
0.45,249467211,20,2.777778,1,proximal-dominant,0.9607142829445121
0.45,898717131,21,2.916667,1,proximal-dominant,0.9663265150646558
0.45,498972760,24,3.333333,1,proximal-dominant,0.8895089666251956
0.45,359525749,21,2.916667,1,proximal-dominant,0.9132901062781581
0.45,434285668,20,2.777778,1,proximal-dominant,0.9715517171461887
0.45,613608296,22,3.055556,1,proximal-dominant,0.9153846129400565
0.45,893664920,0,0.0,0,none,0.7285816212279872
0.45,648061059,20,2.777778,1,proximal-dominant,1.0
0.45,88409750,21,2.916667,1,proximal-dominant,0.9641304088390825
0.45,242285877,0,0.0,0,none,0.7398316044989031
0.45,944505602,11,1.527778,1,distal-dominant,1.0
0.45,953477464,21,2.916667,1,proximal-dominant,0.9326530591656639
0.45,354088428,0,0.0,0,none,0.752703309425086
0.45,809827742,20,2.777778,1,proximal-dominant,0.9770833300910724
0.45,911989542,22,3.055556,1,proximal-dominant,0.8469745430740523
0.45,3344770,24,3.333333,1,proximal-dominant,0.8854423791625212
0.45,780932288,0,0.0,0,none,0.7582909321252795
0.45,787716373,22,3.055556,1,proximal-dominant,0.9282608692951426
0.45,504579233,20,2.777778,1,proximal-dominant,0.9565789447430295
0.45,232968652,10,1.388889,1,distal-dominant,0.8730769067835524
0.45,479546682,21,2.916667,1,proximal-dominant,0.9597560930011706
0.45,106328086,21,2.916667,1,proximal-dominant,0.9669999944908065
0.45,30349565,21,2.916667,1,proximal-dominant,0.9266666653124025
0.45,781447916,26,3.611111,1,proximal-dominant,0.8332097826916318
0.45,99052377,0,0.0,0,none,0.7504926415470423
0.45,177077809,0,0.0,0,none,0.7524239150291439
0.45,106406363,0,0.0,0,none,0.7568029460208618
0.45,480404539,0,0.0,0,none,0.6638060778882416
0.45,643647999,26,3.611111,1,proximal-dominant,0.8834632916327783
0.45,599121578,20,2.777778,1,proximal-dominant,1.0
0.45,200427520,29,4.027778,1,proximal-dominant,0.8580462080546579
0.45,181009884,21,2.916667,1,proximal-dominant,0.8091536506698453
0.45,961022652,0,0.0,0,none,0.7909999996641679
0.45,499770320,0,0.0,0,none,0.7488924921489328
0.45,999745295,0,0.0,0,none,0.7313919732240245
0.45,885063870,21,2.916667,1,proximal-dominant,0.9669999863566527
0.45,389151678,20,2.777778,1,proximal-dominant,1.0
0.45,151079599,22,3.055556,1,proximal-dominant,0.8749297182795259
0.45,508464062,25,3.472222,1,proximal-dominant,0.8763301574048838
0.45,857592371,21,2.916667,1,proximal-dominant,0.9607142758376752
0.45,568919916,20,2.777778,1,proximal-dominant,0.9633333321582933
0.45,61136439,21,2.916667,1,proximal-dominant,0.916981130776083
0.45,396917568,21,2.916667,1,proximal-dominant,0.9388888877088997
0.45,930989561,22,3.055556,1,proximal-dominant,0.8999999996704251
0.45,199502979,26,3.611111,1,proximal-dominant,0.8481838799253001
0.45,472190437,20,2.777778,1,proximal-dominant,0.9287488092465508
0.45,461901619,22,3.055556,1,proximal-dominant,0.8349999969299422
0.45,774414983,10,1.388889,1,distal-dominant,1.0
1.0,534895719,6,0.833333,1,distal-dominant,0.9999999999983303
1.0,199900596,2,0.277778,1,proximal-dominant,1.0
1.0,862061405,6,0.833333,1,proximal-dominant,0.9999999999991125
1.0,787846415,1,0.138889,1,proximal-dominant,1.0
1.0,996406379,1,0.138889,1,proximal-dominant,1.0
1.0,127521864,3,0.416667,1,proximal-dominant,0.9999999976337854
1.0,423734973,1,0.138889,1,proximal-dominant,0.9999999999994827
1.0,415968277,2,0.277778,1,distal-dominant,0.9999999999981718
1.0,670094951,1,0.138889,1,proximal-dominant,1.0
1.0,841095290,2,0.277778,1,proximal-dominant,1.0
1.0,669991379,2,0.277778,1,proximal-dominant,1.0
1.0,429389015,2,0.277778,1,distal-dominant,1.0
1.0,249467211,1,0.138889,1,proximal-dominant,1.0
1.0,898717131,1,0.138889,1,proximal-dominant,0.9999999999945526
1.0,498972760,9,1.25,1,proximal-dominant,0.9995449947332199
1.0,359525749,10,1.388889,1,proximal-dominant,1.0
1.0,434285668,1,0.138889,1,proximal-dominant,1.0
1.0,613608296,6,0.833333,1,proximal-dominant,1.0
1.0,893664920,7,0.972222,1,proximal-dominant,0.999999999997596
1.0,648061059,1,0.138889,1,proximal-dominant,1.0
1.0,88409750,8,1.111111,1,proximal-dominant,0.9999999999948234
1.0,242285877,10,1.388889,1,proximal-dominant,1.0
1.0,944505602,1,0.138889,1,proximal-dominant,1.0
1.0,953477464,2,0.277778,1,proximal-dominant,1.0
1.0,354088428,6,0.833333,1,proximal-dominant,1.0
1.0,809827742,1,0.138889,1,proximal-dominant,0.9999999999995403
1.0,911989542,3,0.416667,1,proximal-dominant,1.0
1.0,3344770,1,0.138889,1,proximal-dominant,0.999999999996929
1.0,780932288,6,0.833333,1,proximal-dominant,0.9999999999995004
1.0,787716373,8,1.111111,1,proximal-dominant,1.0
1.0,504579233,1,0.138889,1,proximal-dominant,1.0
1.0,232968652,3,0.416667,1,proximal-dominant,1.0
1.0,479546682,2,0.277778,1,proximal-dominant,1.0
1.0,106328086,2,0.277778,1,proximal-dominant,1.0
1.0,30349565,1,0.138889,1,proximal-dominant,0.9999999998638814
1.0,781447916,4,0.555556,1,distal-dominant,0.9999999999472173
1.0,99052377,3,0.416667,1,proximal-dominant,0.9999999999714313
1.0,177077809,2,0.277778,1,proximal-dominant,0.9999999999955578
1.0,106406363,1,0.138889,1,proximal-dominant,0.9999999999925279
1.0,480404539,1,0.138889,1,proximal-dominant,0.999999999998285
1.0,643647999,10,1.388889,1,proximal-dominant,0.9999999999985014
1.0,599121578,1,0.138889,1,proximal-dominant,1.0
1.0,200427520,4,0.555556,1,proximal-dominant,0.9999999999934024
1.0,181009884,1,0.138889,1,proximal-dominant,0.999999999994934
1.0,961022652,2,0.277778,1,proximal-dominant,1.0
1.0,499770320,1,0.138889,1,proximal-dominant,1.0
1.0,999745295,1,0.138889,1,proximal-dominant,1.0
1.0,885063870,2,0.277778,1,proximal-dominant,1.0
1.0,389151678,2,0.277778,1,proximal-dominant,1.0
1.0,151079599,2,0.277778,1,proximal-dominant,1.0
1.0,508464062,1,0.138889,1,proximal-dominant,1.0
1.0,857592371,6,0.833333,1,distal-dominant,0.9999999999976948
1.0,568919916,4,0.555556,1,proximal-dominant,1.0
1.0,61136439,1,0.138889,1,proximal-dominant,1.0
1.0,396917568,1,0.138889,1,proximal-dominant,1.0
1.0,930989561,4,0.555556,1,proximal-dominant,0.999999975474126
1.0,199502979,1,0.138889,1,proximal-dominant,0.9999999999973029
1.0,472190437,3,0.416667,1,proximal-dominant,1.0
1.0,461901619,2,0.277778,1,distal-dominant,1.0
1.0,774414983,10,1.388889,1,proximal-dominant,1.0
